User type,Organization,Page Visited,Date and Time,User IP address
Empty,Empty,/,2013-05-01 00:51:22,65.82.8.201
Empty,Empty,/index.php,2013-05-01 00:51:26,65.82.8.201
Social Worker,none,/,2013-05-01 05:48:23,65.34.169.74
Social Worker,none,Housing - Rent vs. Buy Decision Making,2013-05-01 05:48:49,65.34.169.74
Social Worker,none,Housing - Rent vs. Buy Decision Making,2013-05-01 05:48:59,65.34.169.74
Social Worker,none,Housing - Rent vs. Buy Decision Making,2013-05-01 05:50:22,65.34.169.74
Social Worker,none,Housing - Rent vs. Buy Decision Making,2013-05-01 05:50:22,65.34.169.74
Social Worker,none,Housing - Rent Assistance Options,2013-05-01 05:50:30,65.34.169.74
Social Worker,none,Housing - Rent Accumulation Table,2013-05-01 05:50:36,65.34.169.74
Social Worker,none,Housing - Buying a Home,2013-05-01 05:50:42,65.34.169.74
Social Worker,none,Housing - Financial Assistance for Household Expenses,2013-05-01 05:50:49,65.34.169.74
Social Worker,none,Housing - Beware of Foreclosure Rescue Scams!,2013-05-01 05:50:55,65.34.169.74
Social Worker,none,Housing - Home Ownership Assistance,2013-05-01 05:51:00,65.34.169.74
Social Worker,none,Housing - What is Assisted Living?,2013-05-01 05:51:04,65.34.169.74
Social Worker,none,Housing - Rent vs. Buy Decision Making,2013-05-01 05:51:21,65.34.169.74
Social Worker,none,Food - Build a healthy plate,2013-05-01 05:51:36,65.34.169.74
Social Worker,none,The Bean Game - The Bean Game,2013-05-01 05:51:48,65.34.169.74
Maintainer,Housing Solutions,/,2013-05-01 07:33:41,64.251.18.10
Maintainer,Housing Solutions,/links.php,2013-05-01 07:33:57,64.251.18.10
Maintainer,Housing Solutions,/links.php,2013-05-01 07:34:08,64.251.18.10
Maintainer,Housing Solutions,/contact.php,2013-05-01 07:34:10,64.251.18.10
Maintainer,Housing Solutions,/about.php,2013-05-01 07:35:52,64.251.18.10
Maintainer,Housing Solutions,The Bean Game - The Bean Game,2013-05-01 07:36:04,64.251.18.10
Maintainer,Housing Solutions,The Bean Game - The Bean Game,2013-05-01 07:36:15,64.251.18.10
Maintainer,Housing Solutions,The Bean Game - The Bean Game,2013-05-01 07:36:31,64.251.18.10
Maintainer,Housing Solutions,The Bean Game - The Bean Game,2013-05-01 07:36:31,64.251.18.10
Maintainer,Housing Solutions,Health - Health History Questionnaire,2013-05-01 07:37:56,64.251.18.10
Maintainer,Housing Solutions,Health - Symptoms,2013-05-01 07:38:17,64.251.18.10
Maintainer,Housing Solutions,Health - Warning Signs of a Stroke,2013-05-01 07:38:19,64.251.18.10
Maintainer,Housing Solutions,Health - Breast cancer,2013-05-01 07:38:21,64.251.18.10
Maintainer,Housing Solutions,Health - Depression Signs and Symptoms,2013-05-01 07:38:23,64.251.18.10
Maintainer,Housing Solutions,Health - Warning Signs of Suicide ,2013-05-01 07:38:25,64.251.18.10
Maintainer,Housing Solutions,Health - Tips for increasing Physical Activity,2013-05-01 07:38:26,64.251.18.10
Maintainer,Housing Solutions,/index.php,2013-05-01 07:45:37,64.251.18.10
Maintainer,Housing Solutions,Housing - Rent Assistance Options,2013-05-01 07:45:44,64.251.18.10
Empty,Empty,/,2013-05-01 07:50:44,216.199.130.168
Declined,Declined,/,2013-05-01 08:17:45,64.251.1.200
Empty,Empty,/capstone/,2013-05-01 08:17:51,64.251.1.200
Declined,Declined,Employment & Education - Finding Career Direction,2013-05-01 08:22:15,64.251.1.200
Declined,Declined,Employment & Education - How Do I Get Hired?,2013-05-01 08:22:20,64.251.1.200
Declined,Declined,Employment & Education - How Do I Get Hired?,2013-05-01 08:30:58,64.251.1.200
Declined,Declined,Employment & Education - How Do I Get Hired?,2013-05-01 08:31:07,64.251.1.200
Declined,Declined,Employment & Education - How Do I Get Hired?,2013-05-01 08:31:24,64.251.1.200
Declined,Declined,Employment & Education - How Do I Get Hired?,2013-05-01 08:31:50,64.251.1.200
Declined,Declined,Employment & Education - Post-Secondary Education,2013-05-01 08:31:53,64.251.1.200
Declined,Declined,Employment & Education - What Do I Want to Do?,2013-05-01 08:31:53,64.251.1.200
Declined,Declined,Employment & Education - This approach consists of sequentially answering three questions:,2013-05-01 08:31:54,64.251.1.200
Declined,Declined,Employment & Education - Ways to Keep your Job & Get the Raise you Deserve!,2013-05-01 08:31:55,64.251.1.200
Declined,Declined,Employment & Education - Finding Career Direction,2013-05-01 08:31:55,64.251.1.200
Declined,Declined,Employment & Education - Have you recently lost your job?,2013-05-01 08:31:56,64.251.1.200
Declined,Declined,Employment & Education - Construct a Company,2013-05-01 08:31:56,64.251.1.200
Declined,Declined,Employment & Education - Got that Entrepreneurial Spirit?,2013-05-01 08:31:57,64.251.1.200
Declined,Declined,Employment & Education - Preparing for the Interview,2013-05-01 08:32:07,64.251.1.200
Declined,Declined,Employment & Education - Types of Résumés,2013-05-01 08:32:07,64.251.1.200
Declined,Declined,Employment & Education - Making Yourself the Best Candidate,2013-05-01 08:32:08,64.251.1.200
Declined,Declined,Employment & Education - How Do I Get Hired?,2013-05-01 08:32:08,64.251.1.200
Declined,Declined,Employment & Education - Post-Secondary Education,2013-05-01 08:32:08,64.251.1.200
Declined,Declined,Employment & Education - How Do I Get Hired?,2013-05-01 08:32:10,64.251.1.200
Declined,Declined,Employment & Education - Post-Secondary Education,2013-05-01 08:32:50,64.251.1.200
Declined,Declined,Employment & Education - What Do I Want to Do?,2013-05-01 08:32:51,64.251.1.200
Declined,Declined,Employment & Education - This approach consists of sequentially answering three questions:,2013-05-01 08:32:51,64.251.1.200
Declined,Declined,Employment & Education - Ways to Keep your Job & Get the Raise you Deserve!,2013-05-01 08:32:52,64.251.1.200
Declined,Declined,Employment & Education - Finding Career Direction,2013-05-01 08:32:52,64.251.1.200
Declined,Declined,Employment & Education - Have you recently lost your job?,2013-05-01 08:32:53,64.251.1.200
Declined,Declined,Employment & Education - Construct a Company,2013-05-01 08:32:54,64.251.1.200
Declined,Declined,Employment & Education - Got that Entrepreneurial Spirit?,2013-05-01 08:32:54,64.251.1.200
Declined,Declined,Money Management - Financial Plan,2013-05-01 08:33:03,64.251.1.200
Declined,Declined,Money Management - Needs vs. Wants,2013-05-01 08:33:04,64.251.1.200
Declined,Declined,Money Management - Step 1: Setting Goals,2013-05-01 08:33:04,64.251.1.200
Declined,Declined,Money Management - Step 2: Analyze Your Spending,2013-05-01 08:33:05,64.251.1.200
Declined,Declined,Money Management - Income & Expenses,2013-05-01 08:33:05,64.251.1.200
Declined,Declined,Money Management - Guidelines for Sticking with Your Plan,2013-05-01 08:33:06,64.251.1.200
Declined,Declined,Money Management - Why is Retirement Planning Important?,2013-05-01 08:33:06,64.251.1.200
Declined,Declined,Money Management - The Cost of Financial Services,2013-05-01 08:33:07,64.251.1.200
Declined,Declined,Money Management - 10 steps to shopping for a financial institution,2013-05-01 08:33:07,64.251.1.200
Declined,Declined,Money Management - Credit Report /Credit Bureau,2013-05-01 08:33:08,64.251.1.200
Declined,Declined,Money Management - Monthly Budget Guide,2013-05-01 08:33:08,64.251.1.200
Declined,Declined,Money Management - Understanding the Use of Credit Cards:,2013-05-01 08:33:09,64.251.1.200
Declined,Declined,Money Management - Understanding Your Credit Card Statement,2013-05-01 08:33:09,64.251.1.200
Declined,Declined,Money Management - Credit Card Fees,2013-05-01 08:33:10,64.251.1.200
Declined,Declined,Money Management - Tips to Use Your Credit Cards Wisely,2013-05-01 08:33:10,64.251.1.200
Declined,Declined,Money Management - Earned Income Tax Credit (EITC),2013-05-01 08:33:11,64.251.1.200
Declined,Declined,Money Management - Creating a budget,2013-05-01 08:33:12,64.251.1.200
Declined,Declined,Money Management - Working with Your Budget,2013-05-01 08:33:12,64.251.1.200
Declined,Declined,Money Management - Staying on Track,2013-05-01 08:33:13,64.251.1.200
Declined,Declined,Money Management - Financial Plan,2013-05-01 08:33:13,64.251.1.200
Declined,Declined,Money Management - Needs vs. Wants,2013-05-01 08:33:13,64.251.1.200
Declined,Declined,Money Management - Step 1: Setting Goals,2013-05-01 08:33:14,64.251.1.200
Declined,Declined,Money Management - Step 2: Analyze Your Spending,2013-05-01 08:33:14,64.251.1.200
Declined,Declined,Money Management - Income & Expenses,2013-05-01 08:33:15,64.251.1.200
Declined,Declined,Money Management - Guidelines for Sticking with Your Plan,2013-05-01 08:33:16,64.251.1.200
Declined,Declined,Housing - Rent vs. Buy Decision Making,2013-05-01 08:33:18,64.251.1.200
Declined,Declined,Housing - Rent Assistance Options,2013-05-01 08:33:19,64.251.1.200
Declined,Declined,Housing - Rent Accumulation Table,2013-05-01 08:33:20,64.251.1.200
Declined,Declined,Housing - Buying a Home,2013-05-01 08:33:20,64.251.1.200
Declined,Declined,Housing - Financial Assistance for Household Expenses,2013-05-01 08:33:21,64.251.1.200
Declined,Declined,Housing - Beware of Foreclosure Rescue Scams!,2013-05-01 08:33:21,64.251.1.200
Declined,Declined,Housing - Home Ownership Assistance,2013-05-01 08:33:22,64.251.1.200
Declined,Declined,Housing - What is Assisted Living?,2013-05-01 08:33:22,64.251.1.200
Declined,Declined,Housing - Rent vs. Buy Decision Making,2013-05-01 08:33:23,64.251.1.200
Declined,Declined,Housing - Rent Assistance Options,2013-05-01 08:33:23,64.251.1.200
Declined,Declined,Housing - Rent Accumulation Table,2013-05-01 08:33:24,64.251.1.200
Declined,Declined,Housing - Buying a Home,2013-05-01 08:33:24,64.251.1.200
Declined,Declined,Housing - Financial Assistance for Household Expenses,2013-05-01 08:33:25,64.251.1.200
Declined,Declined,Housing - Beware of Foreclosure Rescue Scams!,2013-05-01 08:33:25,64.251.1.200
Declined,Declined,Housing - Home Ownership Assistance,2013-05-01 08:33:26,64.251.1.200
Declined,Declined,Housing - What is Assisted Living?,2013-05-01 08:33:26,64.251.1.200
Declined,Declined,Housing - Rent vs. Buy Decision Making,2013-05-01 08:33:27,64.251.1.200
Declined,Declined,Housing - Rent Assistance Options,2013-05-01 08:33:27,64.251.1.200
Declined,Declined,Housing - Rent Accumulation Table,2013-05-01 08:33:28,64.251.1.200
Declined,Declined,Housing - Buying a Home,2013-05-01 08:33:28,64.251.1.200
Declined,Declined,Housing - Financial Assistance for Household Expenses,2013-05-01 08:33:29,64.251.1.200
Declined,Declined,Housing - Beware of Foreclosure Rescue Scams!,2013-05-01 08:33:29,64.251.1.200
Declined,Declined,Housing - Home Ownership Assistance,2013-05-01 08:33:30,64.251.1.200
Declined,Declined,Food - Build a healthy plate,2013-05-01 08:33:34,64.251.1.200
Declined,Declined,Food - Protein & Vegetables,2013-05-01 08:33:36,64.251.1.200
Declined,Declined,Food - Fruits and Dairy,2013-05-01 08:33:36,64.251.1.200
Declined,Declined,Food - Empty Calories,2013-05-01 08:33:37,64.251.1.200
Declined,Declined,Food - Food Safety,2013-05-01 08:33:37,64.251.1.200
Declined,Declined,Food - Eating Healthy on a Budget,2013-05-01 08:33:38,64.251.1.200
Declined,Declined,Food - Do you need help with food?,2013-05-01 08:33:38,64.251.1.200
Declined,Declined,Food - WIC / FREE or REDUCED Meals at School,2013-05-01 08:33:38,64.251.1.200
Declined,Declined,Food - Food Assistance and SUNCAP,2013-05-01 08:33:39,64.251.1.200
Declined,Declined,Food - 5 Myths & Facts about Food Stamps for the Elderly,2013-05-01 08:33:40,64.251.1.200
Declined,Declined,Food - Test Your Knowledge,2013-05-01 08:33:40,64.251.1.200
Declined,Declined,Food - Sample Menu for a 2000 Calorie Food Pattern,2013-05-01 08:33:41,64.251.1.200
Declined,Declined,Food - My Pyramid Worksheet,2013-05-01 08:33:42,64.251.1.200
Declined,Declined,Food - Build a healthy plate,2013-05-01 08:33:42,64.251.1.200
Declined,Declined,Food - Protein & Vegetables,2013-05-01 08:33:43,64.251.1.200
Declined,Declined,Food - Fruits and Dairy,2013-05-01 08:33:43,64.251.1.200
Declined,Declined,Food - Empty Calories,2013-05-01 08:33:43,64.251.1.200
Declined,Declined,Food - Food Safety,2013-05-01 08:33:44,64.251.1.200
Declined,Declined,Food - Eating Healthy on a Budget,2013-05-01 08:33:44,64.251.1.200
Declined,Declined,Food - Do you need help with food?,2013-05-01 08:33:45,64.251.1.200
Declined,Declined,Food - WIC / FREE or REDUCED Meals at School,2013-05-01 08:33:45,64.251.1.200
Declined,Declined,Food - Food Assistance and SUNCAP,2013-05-01 08:33:46,64.251.1.200
Declined,Declined,Food - 5 Myths & Facts about Food Stamps for the Elderly,2013-05-01 08:33:46,64.251.1.200
Declined,Declined,Children - You Are Your Child’s First Teacher,2013-05-01 08:33:49,64.251.1.200
Declined,Declined,Children - Quality Child Care Options,2013-05-01 08:33:50,64.251.1.200
Declined,Declined,Children - Head Start,2013-05-01 08:33:50,64.251.1.200
Declined,Declined,Children - Choosing Quality Child Care,2013-05-01 08:33:51,64.251.1.200
Declined,Declined,Children - Child Safety Seat Tips and Recommendations,2013-05-01 08:33:51,64.251.1.200
Declined,Declined,Children - You Are Your Child’s First Teacher,2013-05-01 08:33:52,64.251.1.200
Declined,Declined,Children - Quality Child Care Options,2013-05-01 08:33:52,64.251.1.200
Declined,Declined,Children - Head Start,2013-05-01 08:33:53,64.251.1.200
Declined,Declined,Children - Choosing Quality Child Care,2013-05-01 08:33:53,64.251.1.200
Declined,Declined,Children - Child Safety Seat Tips and Recommendations,2013-05-01 08:33:53,64.251.1.200
Declined,Declined,Children - You Are Your Child’s First Teacher,2013-05-01 08:33:54,64.251.1.200
Declined,Declined,Children - Quality Child Care Options,2013-05-01 08:33:54,64.251.1.200
Declined,Declined,Children - Head Start,2013-05-01 08:33:55,64.251.1.200
Declined,Declined,Children - Choosing Quality Child Care,2013-05-01 08:33:55,64.251.1.200
Declined,Declined,Children - Child Safety Seat Tips and Recommendations,2013-05-01 08:33:56,64.251.1.200
Declined,Declined,Children - You Are Your Child’s First Teacher,2013-05-01 08:33:56,64.251.1.200
Declined,Declined,Children - Quality Child Care Options,2013-05-01 08:33:57,64.251.1.200
Declined,Declined,Children - Head Start,2013-05-01 08:34:01,64.251.1.200
Declined,Declined,Children - Choosing Quality Child Care,2013-05-01 08:34:01,64.251.1.200
Declined,Declined,Children - Child Safety Seat Tips and Recommendations,2013-05-01 08:34:02,64.251.1.200
Declined,Declined,Children - You Are Your Child’s First Teacher,2013-05-01 08:34:02,64.251.1.200
Declined,Declined,Children - Quality Child Care Options,2013-05-01 08:34:03,64.251.1.200
Declined,Declined,Children - Head Start,2013-05-01 08:34:03,64.251.1.200
Declined,Declined,Children - Choosing Quality Child Care,2013-05-01 08:34:04,64.251.1.200
Declined,Declined,Children - Child Safety Seat Tips and Recommendations,2013-05-01 08:34:04,64.251.1.200
Declined,Declined,Children - You Are Your Child’s First Teacher,2013-05-01 08:34:05,64.251.1.200
Declined,Declined,Children - Quality Child Care Options,2013-05-01 08:34:05,64.251.1.200
Declined,Declined,Children - Head Start,2013-05-01 08:34:06,64.251.1.200
Declined,Declined,Children - Choosing Quality Child Care,2013-05-01 08:34:06,64.251.1.200
Declined,Declined,Employment & Education - Finding Career Direction,2013-05-01 08:34:10,64.251.1.200
Declined,Declined,Employment & Education - Ways to Keep your Job & Get the Raise you Deserve!,2013-05-01 08:34:11,64.251.1.200
Declined,Declined,Employment & Education - This approach consists of sequentially answering three questions:,2013-05-01 08:34:12,64.251.1.200
Declined,Declined,Employment & Education - What Do I Want to Do?,2013-05-01 08:34:12,64.251.1.200
Declined,Declined,Employment & Education - Post-Secondary Education,2013-05-01 08:34:13,64.251.1.200
Declined,Declined,Employment & Education - How Do I Get Hired?,2013-05-01 08:34:13,64.251.1.200
Declined,Declined,Health - Affordable Health Insurance,2013-05-01 08:34:17,64.251.1.200
Declined,Declined,Health - Are You Disabled and Applying for Medicaid?,2013-05-01 08:34:18,64.251.1.200
Declined,Declined,Health - Where do I go?,2013-05-01 08:34:19,64.251.1.200
Declined,Declined,Health - Urgent Care Centers,2013-05-01 08:34:19,64.251.1.200
Declined,Declined,Health - Affordable Dental Services,2013-05-01 08:34:20,64.251.1.200
Declined,Declined,Health - Proper Dental Care,2013-05-01 08:34:20,64.251.1.200
Declined,Declined,Health - Health History Questionnaire,2013-05-01 08:34:21,64.251.1.200
Declined,Declined,Health - Symptoms,2013-05-01 08:34:21,64.251.1.200
Declined,Declined,Health - Warning Signs of a Stroke,2013-05-01 08:34:22,64.251.1.200
Declined,Declined,Health - Breast cancer,2013-05-01 08:34:22,64.251.1.200
Declined,Declined,Health - Depression Signs and Symptoms,2013-05-01 08:34:23,64.251.1.200
Declined,Declined,Health - Warning Signs of Suicide ,2013-05-01 08:34:23,64.251.1.200
Declined,Declined,Health - Tips for increasing Physical Activity,2013-05-01 08:34:24,64.251.1.200
Declined,Declined,Health - Active Play,2013-05-01 08:34:24,64.251.1.200
Declined,Declined,Health - Daily Fitness Log,2013-05-01 08:34:24,64.251.1.200
Declined,Declined,Health - My Activity Log,2013-05-01 08:34:25,64.251.1.200
Declined,Declined,Health - Affordable Health Insurance,2013-05-01 08:34:25,64.251.1.200
Declined,Declined,Health - Are You Disabled and Applying for Medicaid?,2013-05-01 08:34:26,64.251.1.200
Declined,Declined,Health - Where do I go?,2013-05-01 08:34:26,64.251.1.200
Declined,Declined,Health - Urgent Care Centers,2013-05-01 08:34:27,64.251.1.200
Declined,Declined,Transportation - What Are My Transportation Options?,2013-05-01 08:34:34,64.251.1.200
Declined,Declined,Transportation - How to save money on gas,2013-05-01 08:34:36,64.251.1.200
Declined,Declined,Transportation - BROWARD COUNTY TRANSIT (BCT) BUS SYSTEM,2013-05-01 08:34:36,64.251.1.200
Declined,Declined,Transportation - PARATRANSIT (TOPS),2013-05-01 08:34:37,64.251.1.200
Declined,Declined,Transportation - What Are My Transportation Options?,2013-05-01 08:34:37,64.251.1.200
Declined,Declined,Transportation - How to save money on gas,2013-05-01 08:34:37,64.251.1.200
Declined,Declined,Transportation - BROWARD COUNTY TRANSIT (BCT) BUS SYSTEM,2013-05-01 08:34:38,64.251.1.200
Declined,Declined,Transportation - PARATRANSIT (TOPS),2013-05-01 08:34:38,64.251.1.200
Declined,Declined,Transportation - What Are My Transportation Options?,2013-05-01 08:34:39,64.251.1.200
Declined,Declined,Transportation - How to save money on gas,2013-05-01 08:34:39,64.251.1.200
Declined,Declined,Transportation - BROWARD COUNTY TRANSIT (BCT) BUS SYSTEM,2013-05-01 08:34:40,64.251.1.200
Declined,Declined,Transportation - PARATRANSIT (TOPS),2013-05-01 08:34:40,64.251.1.200
Declined,Declined,Transportation - What Are My Transportation Options?,2013-05-01 08:34:41,64.251.1.200
Declined,Declined,Transportation - How to save money on gas,2013-05-01 08:34:41,64.251.1.200
Declined,Declined,Transportation - BROWARD COUNTY TRANSIT (BCT) BUS SYSTEM,2013-05-01 08:34:42,64.251.1.200
Declined,Declined,Transportation - PARATRANSIT (TOPS),2013-05-01 08:34:42,64.251.1.200
Declined,Declined,Transportation - What Are My Transportation Options?,2013-05-01 08:34:43,64.251.1.200
Declined,Declined,Transportation - How to save money on gas,2013-05-01 08:34:43,64.251.1.200
Declined,Declined,Transportation - BROWARD COUNTY TRANSIT (BCT) BUS SYSTEM,2013-05-01 08:34:44,64.251.1.200
Declined,Declined,Transportation - PARATRANSIT (TOPS),2013-05-01 08:34:44,64.251.1.200
Declined,Declined,Transportation - What Are My Transportation Options?,2013-05-01 08:34:45,64.251.1.200
Declined,Declined,Transportation - How to save money on gas,2013-05-01 08:34:45,64.251.1.200
Declined,Declined,Transportation - BROWARD COUNTY TRANSIT (BCT) BUS SYSTEM,2013-05-01 08:34:46,64.251.1.200
Declined,Declined,Transportation - PARATRANSIT (TOPS),2013-05-01 08:34:46,64.251.1.200
Declined,Declined,Transportation - What Are My Transportation Options?,2013-05-01 08:34:47,64.251.1.200
Empty,Empty,/,2013-05-01 08:44:14,65.195.234.110
Declined,Declined,Employment & Education - How Do I Get Hired?,2013-05-01 08:45:43,65.195.234.110
Declined,Declined,Employment & Education - Post-Secondary Education,2013-05-01 08:45:59,65.195.234.110
Declined,Declined,Employment & Education - How Do I Get Hired?,2013-05-01 08:46:00,65.195.234.110
Declined,Declined,Employment & Education - How Do I Get Hired?,2013-05-01 08:47:12,65.195.234.110
Declined,Declined,Employment & Education - How Do I Get Hired?,2013-05-01 08:48:36,65.195.234.110
Declined,Declined,Employment & Education - Post-Secondary Education,2013-05-01 08:48:39,65.195.234.110
Declined,Declined,Employment & Education - How Do I Get Hired?,2013-05-01 08:48:41,65.195.234.110
Declined,Declined,Employment & Education - How Do I Get Hired?,2013-05-01 08:49:21,65.195.234.110
Declined,Declined,Employment & Education - Post-Secondary Education,2013-05-01 08:49:24,65.195.234.110
Declined,Declined,Employment & Education - How Do I Get Hired?,2013-05-01 08:49:25,65.195.234.110
Declined,Declined,Employment & Education - Got that Entrepreneurial Spirit?,2013-05-01 08:49:40,65.195.234.110
Declined,Declined,Employment & Education - Got that Entrepreneurial Spirit?,2013-05-01 08:50:28,65.195.234.110
Declined,Declined,Employment & Education - Preparing for the Interview,2013-05-01 08:50:31,65.195.234.110
Declined,Declined,Employment & Education - Got that Entrepreneurial Spirit?,2013-05-01 08:50:32,65.195.234.110
Declined,Declined,Employment & Education - Got that Entrepreneurial Spirit?,2013-05-01 08:52:30,65.195.234.110
Declined,Declined,Money Management - Financial Plan,2013-05-01 09:00:38,65.195.234.110
Declined,Declined,Money Management - Needs vs. Wants,2013-05-01 09:00:39,65.195.234.110
Declined,Declined,Money Management - Step 1: Setting Goals,2013-05-01 09:00:40,65.195.234.110
Declined,Declined,Money Management - Needs vs. Wants,2013-05-01 09:00:42,65.195.234.110
Declined,Declined,Money Management - Needs vs. Wants,2013-05-01 09:01:08,65.195.234.110
Declined,Declined,Money Management - Step 1: Setting Goals,2013-05-01 09:01:17,65.195.234.110
Declined,Declined,Money Management - Step 2: Analyze Your Spending,2013-05-01 09:01:21,65.195.234.110
